,AAA,CITY,PF
,AAB,CITY,AU
,AAC,CITY,EG
,AAE,CITY,DZ
,AAF,CITY,US
,AAG,CITY,BR
,AAH,CITY,DE
,AAI,CITY,BR
,AAJ,CITY,SR
,AAK,CITY,KI
,AAL,CITY,DK
,AAM,CITY,ZA
,AAN,CITY,AE
,AAO,CITY,VE
,AAQ,CITY,RU
,AAR,CITY,DK
,AAS,CITY,ID
,AAT,CITY,CN
,AAU,CITY,WS
,AAV,CITY,PH
,AAW,CITY,PK
,AAX,CITY,BR
,AAY,CITY,YE
,AAZ,CITY,GT
,ABA,CITY,RU
,ABB,CITY,NG
,ABC,CITY,ES
,ABD,CITY,IR
,ABE,CITY,US
,ABF,CITY,KI
,ABG,CITY,AU
,ABH,CITY,AU
,ABI,CITY,US
,ABJ,CITY,CI
,ABK,CITY,ET
,ABL,CITY,US
,ABM,CITY,AU
,ABN,CITY,SR
,ABO,CITY,CI
,ABP,CITY,PG
,ABQ,CITY,US
,ABR,CITY,US
,ABS,CITY,EG
,ABT,CITY,SA
,ABU,CITY,ID
,ABV,CITY,NG
,ABW,CITY,PG
,ABX,CITY,AU
,ABY,CITY,US
,ABZ,CITY,GB
,ACA,CITY,MX
,ACB,CITY,US
,ACC,CITY,GH
,ACD,CITY,CO
,ACE,CITY,ES
,ACH,CITY,CH
,ACI,CITY,GG
,ACJ,CITY,LK
,ACK,CITY,US
,ACL,CITY,CO
,ACM,CITY,CO
,ACN,CITY,MX
,ACP,CITY,IR
,ACR,CITY,CO
,ACS,CITY,RU
,ACT,CITY,US
,ACU,CITY,PA
,ACV,CITY,US
,ACX,CITY,CN
,ACZ,CITY,IR
,ADA,CITY,TR
,ADC,CITY,PG
,ADD,CITY,ET
,ADE,CITY,YE
,ADF,CITY,TR
,ADG,CITY,US
,ADH,CITY,RU
,ADI,CITY,NA
,ADK,CITY,US
,ADL,CITY,AU
,ADM,CITY,US
,ADN,CITY,CO
,ADO,CITY,AU
,ADP,CITY,LK
,ADQ,CITY,US
,ADR,CITY,US
,ADT,CITY,US
,ADU,CITY,IR
,ADW,CITY,US
,ADX,CITY,GB
,ADY,CITY,ZA
,ADZ,CITY,CO
,AEA,CITY,KI
,AEB,CITY,CN
,AED,CITY,US
,AEE,CITY,SS
,AEG,CITY,ID
,AEH,CITY,TD
,AEI,CITY,ES
,AEK,CITY,PG
,AEL,CITY,US
,AEO,CITY,MR
,AER,CITY,RU
,AES,CITY,NO
,AET,CITY,US
,AEU,CITY,IR
,AEX,CITY,US
,AEY,CITY,IS
,AFA,CITY,AR
,AFD,CITY,ZA
,AFI,CITY,CO
,AFL,CITY,BR
,AFN,CITY,US
,AFO,CITY,US
,AFR,CITY,PG
,AFS,CITY,UZ
,AFT,CITY,SB
,AFY,CITY,TR
,AFZ,CITY,IR
,AGA,CITY,MA
,AGD,CITY,ID
,AGE,CITY,DE
,AGF,CITY,FR
,AGG,CITY,PG
,AGH,CITY,SE
,AGI,CITY,SR
,AGJ,CITY,JP
,AGK,CITY,PG
,AGL,CITY,PG
,AGM,CITY,GL
,AGN,CITY,US
,AGO,CITY,US
,AGP,CITY,ES
,AGQ,CITY,GR
,AGR,CITY,IN
,AGS,CITY,US
,AGT,CITY,PY
