,AAA,AIRPORT,,AAA
,AAB,AIRPORT,,AAB
,AAC,AIRPORT,,AAC
,AAE,AIRPORT,,AAE
,AAF,AIRPORT,,AAF
,AAG,AIRPORT,,AAG
,AAH,AIRPORT,,AAH
,AAI,AIRPORT,,AAI
,AAJ,AIRPORT,,AAJ
,AAK,AIRPORT,,AAK
,AAL,AIRPORT,,AAL
,AAM,AIRPORT,,AAM
,AAN,AIRPORT,,AAN
,AAO,AIRPORT,,AAO
,AAP,AIRPORT,,HOU
,AAQ,AIRPORT,,AAQ
,AAR,AIRPORT,,AAR
,AAS,AIRPORT,,AAS
,AAT,AIRPORT,,AAT
,AAU,AIRPORT,,AAU
,AAV,AIRPORT,,AAV
,AAW,AIRPORT,,AAW
,AAX,AIRPORT,,AAX
,AAY,AIRPORT,,AAY
,AAZ,AIRPORT,,AAZ
,ABA,AIRPORT,,ABA
,ABB,AIRPORT,,ABB
,ABC,AIRPORT,,ABC
,ABD,AIRPORT,,ABD
,ABE,AIRPORT,,ABE
,ABF,AIRPORT,,ABF
,ABG,AIRPORT,,ABG
,ABH,AIRPORT,,ABH
,ABI,AIRPORT,,ABI
,ABJ,AIRPORT,,ABJ
,ABK,AIRPORT,,ABK
,ABL,AIRPORT,,ABL
,ABM,AIRPORT,,ABM
,ABN,AIRPORT,,ABN
,ABO,AIRPORT,,ABO
,ABP,AIRPORT,,ABP
,ABQ,AIRPORT,,ABQ
,ABR,AIRPORT,,ABR
,ABS,AIRPORT,,ABS
,ABT,AIRPORT,,ABT
,ABU,AIRPORT,,ABU
,ABV,AIRPORT,,ABV
,ABW,AIRPORT,,ABW
,ABX,AIRPORT,,ABX
,ABY,AIRPORT,,ABY
,ABZ,AIRPORT,,ABZ
,ACA,AIRPORT,,ACA
,ACB,AIRPORT,,ACB
,ACC,AIRPORT,,ACC
,ACD,AIRPORT,,ACD
,ACE,AIRPORT,,ACE
,ACH,AIRPORT,,ACH
,ACI,AIRPORT,,ACI
,ACJ,AIRPORT,,ACJ
,ACK,AIRPORT,,ACK
,ACL,AIRPORT,,ACL
,ACM,AIRPORT,,ACM
,ACN,AIRPORT,,ACN
,ACP,AIRPORT,,ACP
,ACR,AIRPORT,,ACR
,ACS,AIRPORT,,ACS
,ACT,AIRPORT,,ACT
,ACU,AIRPORT,,ACU
,ACV,AIRPORT,,ACV
,ACX,AIRPORT,,ACX
,ACY,AIRPORT,,AIY
,ACZ,AIRPORT,,ACZ
,ADA,AIRPORT,,ADA
,ADB,AIRPORT,,IZM
,ADC,AIRPORT,,ADC
,ADD,AIRPORT,,ADD
,ADE,AIRPORT,,ADE
,ADF,AIRPORT,,ADF
,ADG,AIRPORT,,ADG
,ADH,AIRPORT,,ADH
,ADI,AIRPORT,,ADI
,ADJ,AIRPORT,,AMM
,ADK,AIRPORT,,ADK
,ADL,AIRPORT,,ADL
,ADM,AIRPORT,,ADM
,ADN,AIRPORT,,ADN
,ADO,AIRPORT,,ADO
,ADP,AIRPORT,,ADP
,ADQ,AIRPORT,,ADQ
,ADR,AIRPORT,,ADR
,ADS,AIRPORT,,DFW
,ADT,AIRPORT,,ADT
,ADU,AIRPORT,,ADU
,ADW,AIRPORT,,ADW
,ADX,AIRPORT,,ADX
,ADY,AIRPORT,,ADY
,ADZ,AIRPORT,,ADZ
,AEA,AIRPORT,,AEA
,AEB,AIRPORT,,AEB
,AED,AIRPORT,,AED
,AEE,AIRPORT,,AEE
,AEG,AIRPORT,,AEG
,AEH,AIRPORT,,AEH
,AEI,AIRPORT,,AEI
,AEK,AIRPORT,,AEK
,AEL,AIRPORT,,AEL
,AEO,AIRPORT,,AEO
,AEP,AIRPORT,,BUE
,AER,AIRPORT,,AER
,AES,AIRPORT,,AES
,AET,AIRPORT,,AET
,AEU,AIRPORT,,AEU
,AEX,AIRPORT,,AEX
,AEY,AIRPORT,,AEY
,AFA,AIRPORT,,AFA
,AFD,AIRPORT,,AFD
,AFF,AIRPORT,,COS
,AFI,AIRPORT,,AFI
,AFK,AIRPORT,,ADP
,AFL,AIRPORT,,AFL
,AFN,AIRPORT,,AFN
,AFO,AIRPORT,,AFO
,AFR,AIRPORT,,AFR
,AFS,AIRPORT,,AFS
,AFT,AIRPORT,,AFT
,AFW,AIRPORT,,DFW
,AFY,AIRPORT,,AFY
,AFZ,AIRPORT,,AFZ
,AGA,AIRPORT,,AGA
,AGB,AIRPORT,,MUC
,AGC,AIRPORT,,PIT
,AGD,AIRPORT,,AGD
,AGE,AIRPORT,,AGE
,AGF,AIRPORT,,AGF
,AGG,AIRPORT,,AGG
,AGH,AIRPORT,,AGH
,AGI,AIRPORT,,AGI
,AGJ,AIRPORT,,AGJ
,AGK,AIRPORT,,AGK
,AGL,AIRPORT,,AGL
,AGM,AIRPORT,,AGM
,AGN,AIRPORT,,AGN
,AGO,AIRPORT,,AGO
,AGP,AIRPORT,,AGP
,AGQ,AIRPORT,,AGQ
,AGR,AIRPORT,,AGR
,AGS,AIRPORT,,AGS
,AGT,AIRPORT,,AGT
,AGU,AIRPORT,,AGU
,AGV,AIRPORT,,AGV
,AGW,AIRPORT,,AGW
,AGX,AIRPORT,,AGX
,AGZ,AIRPORT,,AGZ
,AHA,AIRPORT,,OKA
,AHB,AIRPORT,,AHB
,AHC,AIRPORT,,AHC
,AHD,AIRPORT,,ADM
,AHE,AIRPORT,,AHE
