,ABZLGW,,ABZ,LGW
,ABZLTN,,ABZ,LTN
,ACELGW,,ACE,LGW
,ACELPL,,ACE,LPL
,ADBLGW,,ADB,LGW
,AGACDG,,AGA,CDG
,AGALGW,,AGA,LGW
,AGALYS,,AGA,LYS
,AGASXF,,AGA,SXF
,AGPBFS,,AGP,BFS
,AGPBRS,,AGP,BRS
,AGPBSL,,AGP,BSL
,AGPCDG,,AGP,CDG
,AGPGLA,,AGP,GLA
,AGPGVA,,AGP,GVA
,AGPLGW,,AGP,LGW
,AGPLPL,,AGP,LPL
,AGPLTN,,AGP,LTN
,AGPMAN,,AGP,MAN
,AGPMXP,,AGP,MXP
,AGPNCL,,AGP,NCL
,AGPSEN,,AGP,SEN
,AGPSTN,,AGP,STN
,AGPSXF,,AGP,SXF
,AHOMXP,,AHO,MXP
,AJABSL,,AJA,BSL
,AJACDG,,AJA,CDG
,AJAGVA,,AJA,GVA
,AJALYS,,AJA,LYS
,ALCBFS,,ALC,BFS
,ALCBRS,,ALC,BRS
,ALCBSL,,ALC,BSL
,ALCEDI,,ALC,EDI
,ALCGLA,,ALC,GLA
,ALCGVA,,ALC,GVA
,ALCLGW,,ALC,LGW
,ALCLPL,,ALC,LPL
,ALCLTN,,ALC,LTN
,ALCMAN,,ALC,MAN
,ALCNCL,,ALC,NCL
,ALCSEN,,ALC,SEN
,ALCSTN,,ALC,STN
,AMMLGW,,AMM,LGW
,AMSBCN,,AMS,BCN
,AMSBFS,,AMS,BFS
,AMSBRS,,AMS,BRS
,AMSBSL,,AMS,BSL
,AMSEDI,,AMS,EDI
,AMSFCO,,AMS,FCO
,AMSGLA,,AMS,GLA
,AMSGVA,,AMS,GVA
,AMSLGW,,AMS,LGW
,AMSLIS,,AMS,LIS
,AMSLPL,,AMS,LPL
,AMSLTN,,AMS,LTN
,AMSMAD,,AMS,MAD
,AMSMAN,,AMS,MAN
,AMSMXP,,AMS,MXP
,AMSPRG,,AMS,PRG
,AMSSEN,,AMS,SEN
,AMSSTN,,AMS,STN
,AMSSXF,,AMS,SXF
,ARNGVA,,ARN,GVA
,ATHEDI,,ATH,EDI
,ATHFCO,,ATH,FCO
,ATHGVA,,ATH,GVA
,ATHLGW,,ATH,LGW
,ATHMAN,,ATH,MAN
,ATHMXP,,ATH,MXP
,ATHORY,,ATH,ORY
,ATHSXF,,ATH,SXF
,AYTLGW,,AYT,LGW
,BCNAMS,,BCN,AMS
,BCNBFS,,BCN,BFS
,BCNBRS,,BCN,BRS
,BCNBSL,,BCN,BSL
,BCNCDG,,BCN,CDG
,BCNDTM,,BCN,DTM
,BCNGVA,,BCN,GVA
,BCNLGW,,BCN,LGW
,BCNLIS,,BCN,LIS
,BCNLPL,,BCN,LPL
,BCNLTN,,BCN,LTN
,BCNLYS,,BCN,LYS
,BCNMXP,,BCN,MXP
,BCNNCE,,BCN,NCE
,BCNNCL,,BCN,NCL
,BCNSEN,,BCN,SEN
,BCNSTN,,BCN,STN
,BCNSXF,,BCN,SXF
,BDSGVA,,BDS,GVA
,BDSMXP,,BDS,MXP
,BESLYS,,BES,LYS
,BFSAGP,,BFS,AGP
,BFSALC,,BFS,ALC
,BFSAMS,,BFS,AMS
,BFSBCN,,BFS,BCN
,BFSBRS,,BFS,BRS
,BFSCDG,,BFS,CDG
,BFSEDI,,BFS,EDI
,BFSFAO,,BFS,FAO
,BFSGLA,,BFS,GLA
,BFSKRK,,BFS,KRK
,BFSLGW,,BFS,LGW
,BFSLPL,,BFS,LPL
,BFSLTN,,BFS,LTN
,BFSMAN,,BFS,MAN
,BFSMLA,,BFS,MLA
,BFSNCL,,BFS,NCL
,BFSPMI,,BFS,PMI
,BFSSEN,,BFS,SEN
,BFSSTN,,BFS,STN
,BIACDG,,BIA,CDG
,BIAGVA,,BIA,GVA
,BIALYS,,BIA,LYS
,BIOFCO,,BIO,FCO
,BIOGVA,,BIO,GVA
,BIOMAD,,BIO,MAD
,BIOMAN,,BIO,MAN
,BIOSTN,,BIO,STN
,BIQCDG,,BIQ,CDG
,BJVBRS,,BJV,BRS
,BJVLGW,,BJV,LGW
,BJVLPL,,BJV,LPL
,BJVSTN,,BJV,STN
,BLQCDG,,BLQ,CDG
,BLQLGW,,BLQ,LGW
,BODBRS,,BOD,BRS
,BODBSL,,BOD,BSL
,BODGVA,,BOD,GVA
,BODLGW,,BOD,LGW
,BODLIS,,BOD,LIS
,BODLTN,,BOD,LTN
,BODLYS,,BOD,LYS
,BODMAD,,BOD,MAD
,BODMXP,,BOD,MXP
,BODNCE,,BOD,NCE
,BRILGW,,BRI,LGW
,BRIMXP,,BRI,MXP
,BRSAGP,,BRS,AGP
,BRSALC,,BRS,ALC
,BRSAMS,,BRS,AMS
,BRSBCN,,BRS,BCN
,BRSBFS,,BRS,BFS
,BRSBJV,,BRS,BJV
,BRSBOD,,BRS,BOD
,BRSCDG,,BRS,CDG
,BRSCFU,,BRS,CFU
,BRSCPH,,BRS,CPH
,BRSDLM,,BRS,DLM
,BRSEDI,,BRS,EDI
,BRSFAO,,BRS,FAO
,BRSFCO,,BRS,FCO
,BRSFNC,,BRS,FNC
,BRSFUE,,BRS,FUE
,BRSGLA,,BRS,GLA
,BRSGVA,,BRS,GVA
,BRSHER,,BRS,HER
,BRSINV,,BRS,INV
,BRSKRK,,BRS,KRK
,BRSLIS,,BRS,LIS
,BRSMAD,,BRS,MAD
,BRSMJV,,BRS,MJV
,BRSNAP,,BRS,NAP
,BRSNCE,,BRS,NCE
,BRSNCL,,BRS,NCL
,BRSPFO,,BRS,PFO
,BRSPMI,,BRS,PMI
,BRSPRG,,BRS,PRG
,BRSPSA,,BRS,PSA
,BRSSXF,,BRS,SXF
,BRSTFS,,BRS,TFS
,BRSTLS,,BRS,TLS
,BRUGVA,,BRU,GVA
,BRULPL,,BRU,LPL
,BRULYS,,BRU,LYS
,BRUMXP,,BRU,MXP
,BRUNCE,,BRU,NCE
,BRUSXF,,BRU,SXF
,BRUTLS,,BRU,TLS
,BSLAGP,,BSL,AGP
,BSLAJA,,BSL,AJA
,BSLALC,,BSL,ALC
,BSLAMS,,BSL,AMS
,BSLBCN,,BSL,BCN
,BSLBOD,,BSL,BOD
,BSLCAG,,BSL,CAG
,BSLCPH,,BSL,CPH
,BSLDRS,,BSL,DRS
,BSLDUS,,BSL,DUS
,BSLEDI,,BSL,EDI
,BSLFCO,,BSL,FCO
,BSLFUE,,BSL,FUE
,BSLHAM,,BSL,HAM
,BSLLGW,,BSL,LGW
,BSLLIS,,BSL,LIS
,BSLLPA,,BSL,LPA
,BSLMAD,,BSL,MAD
,BSLMAN,,BSL,MAN
,BSLNAP,,BSL,NAP
,BSLNCE,,BSL,NCE
,BSLNTE,,BSL,NTE
,BSLOLB,,BSL,OLB
,BSLOPO,,BSL,OPO
,BSLPMI,,BSL,PMI
,BSLPRN,,BSL,PRN
,BSLRAK,,BSL,RAK
,BSLSAW,,BSL,SAW
,BSLSKG,,BSL,SKG
,BSLSXF,,BSL,SXF
,BSLTFS,,BSL,TFS
,BSLTLS,,BSL,TLS
,BSLTLV,,BSL,TLV
,BSLVCE,,BSL,VCE
,BUDCDG,,BUD,CDG
,BUDDTM,,BUD,DTM
,BUDGVA,,BUD,GVA
,BUDLGW,,BUD,LGW
,BUDLTN,,BUD,LTN
,BUDSXF,,BUD,SXF
,CAGBSL,,CAG,BSL
,CAGGVA,,CAG,GVA
,CAGMXP,,CAG,MXP
,CAGSTN,,CAG,STN
,CAGSXF,,CAG,SXF
,CDGAGA,,CDG,AGA
,CDGAGP,,CDG,AGP
,CDGAJA,,CDG,AJA
,CDGBCN,,CDG,BCN
